Date,Expense Name,Amount,Account Number,Budget Category
2023-10-08,IKEA Furniture,-250,Checking,Shopping & Miscellaneous
2023-10-09,Trader Joe's,-100,Savings,Groceries & Dining
2023-10-09,Local Farmers Market,-123,Savings,Groceries & Dining
2023-10-09,Mobile Plan - Verizon,-42,Savings,Utilities & Bills
2023-10-11,Movie Night - AMC Theatres,-54,Savings,Entertainment
2023-10-11,Mobile Plan - Verizon,-69,Checking,Utilities & Bills
2023-10-12,Transfer to Savings Account,226,Savings,Savings
2023-10-15,DoorDash,-276,Checking,Groceries & Dining
2023-10-16,Retirement Contribution - Vanguard,188,Savings,Savings
2023-10-18,Walmart Groceries,-242,Savings,Groceries & Dining
2023-10-19,Best Buy Electronics,-161,Checking,Shopping & Miscellaneous
2023-10-20,Retirement Contribution - Vanguard,163,Checking,Savings
2023-10-20,Transfer to Savings Account,296,Savings,Savings
2023-10-21,Amusement Park Ticket,-41,Savings,Entertainment
2023-10-21,Trader Joe's,-137,Savings,Groceries & Dining
2023-10-21,Zara Clothing,-84,Checking,Shopping & Miscellaneous
2023-10-23,Nike Shoes,-41,Checking,Shopping & Miscellaneous
2023-10-23,Escape Room Experience,-19,Checking,Entertainment
2023-10-25,Starbucks Coffee,-217,Checking,Groceries & Dining
2023-10-25,Whole Foods,-259,Checking,Groceries & Dining
2023-10-26,Movie Night - AMC Theatres,-59,Checking,Entertainment
2023-10-26,Movie Night - AMC Theatres,-35,Savings,Entertainment
2023-10-27,Investment Deposit,411,Checking,Savings
2023-10-27,Mobile Plan - Verizon,-88,Savings,Utilities & Bills
2023-10-27,Starbucks Coffee,-190,Savings,Groceries & Dining
2023-10-28,Monthly Rent - Apartment,-1200,Checking,Rent
2023-10-28,Concert Tickets,-27,Checking,Entertainment
2023-10-28,Salary Payment,3000,Checking,Salary
2023-10-28,Spotify Premium,-62,Savings,Entertainment
2023-10-29,Retirement Contribution - Vanguard,423,Savings,Savings
2023-10-31,Mobile Plan - Verizon,-44,Checking,Utilities & Bills
2023-11-01,Water Bill - City Water,-52,Savings,Utilities & Bills
2023-11-01,Transfer to Savings Account,482,Savings,Savings
2023-11-02,Nike Shoes,-87,Savings,Shopping & Miscellaneous
2023-11-02,Sephora Makeup,-93,Savings,Shopping & Miscellaneous
2023-11-02,Netflix Subscription,-61,Checking,Entertainment
2023-11-03,Netflix Subscription,-57,Checking,Entertainment
2023-11-03,Target Shopping,-74,Savings,Shopping & Miscellaneous
2023-11-04,HBO Max Subscription,-55,Checking,Entertainment
2023-11-05,HBO Max Subscription,-27,Savings,Entertainment
2023-11-05,Whole Foods,-288,Checking,Groceries & Dining
2023-11-06,Internet Bill - Comcast,-86,Savings,Utilities & Bills
2023-11-06,Amusement Park Ticket,-11,Checking,Entertainment
2023-11-07,Movie Night - AMC Theatres,-11,Savings,Entertainment
2023-11-11,Trader Joe's,-202,Checking,Groceries & Dining
2023-11-11,HBO Max Subscription,-24,Savings,Entertainment
2023-11-13,Retirement Contribution - Vanguard,471,Savings,Savings
2023-11-14,Fine Dining Restaurant,-297,Checking,Groceries & Dining
2023-11-14,IKEA Furniture,-208,Checking,Shopping & Miscellaneous
2023-11-14,Zara Clothing,-32,Checking,Shopping & Miscellaneous
2023-11-14,Uber Eats,-187,Savings,Groceries & Dining
2023-11-15,Water Bill - City Water,-82,Savings,Utilities & Bills
2023-11-15,Electricity Bill - PowerCo,-63,Savings,Utilities & Bills
2023-11-15,Chipotle,-204,Savings,Groceries & Dining
2023-11-16,Spotify Premium,-57,Checking,Entertainment
2023-11-16,Emergency Fund Contribution,478,Savings,Savings
2023-11-16,Walmart Groceries,-237,Checking,Groceries & Dining
2023-11-17,Walmart Groceries,-149,Checking,Groceries & Dining
2023-11-17,Stock Purchase - Robinhood,377,Savings,Savings
2023-11-18,Mobile Plan - Verizon,-44,Savings,Utilities & Bills
2023-11-19,Local Theatre Play,-65,Savings,Entertainment
2023-11-20,Mobile Plan - Verizon,-30,Checking,Utilities & Bills
2023-11-21,Local Boutique Purchase,-235,Savings,Shopping & Miscellaneous
2023-11-23,Internet Bill - Comcast,-74,Checking,Utilities & Bills
2023-11-25,Chipotle,-127,Savings,Groceries & Dining
2023-11-26,Amazon Prime Video,-46,Savings,Entertainment
2023-11-26,Local Theatre Play,-36,Savings,Entertainment
2023-11-27,Monthly Rent - Apartment,-1200,Checking,Rent
2023-11-27,Fine Dining Restaurant,-83,Savings,Groceries & Dining
2023-11-27,Fine Dining Restaurant,-291,Checking,Groceries & Dining
2023-11-27,Salary Payment,3000,Checking,Salary
2023-11-27,Internet Bill - Comcast,-92,Savings,Utilities & Bills
2023-11-28,Mobile Plan - Verizon,-94,Savings,Utilities & Bills
2023-11-28,Water Bill - City Water,-88,Savings,Utilities & Bills
2023-11-28,Retirement Contribution - Vanguard,107,Checking,Savings
2023-11-29,Best Buy Electronics,-246,Checking,Shopping & Miscellaneous
2023-11-30,Investment Deposit,386,Checking,Savings
2023-11-30,Emergency Fund Contribution,476,Checking,Savings
2023-11-30,Amusement Park Ticket,-30,Checking,Entertainment
2023-12-01,Chipotle,-73,Savings,Groceries & Dining
2023-12-03,Escape Room Experience,-61,Checking,Entertainment
2023-12-04,Heating Bill - GasCompany,-26,Savings,Utilities & Bills
2023-12-04,Best Buy Electronics,-135,Checking,Shopping & Miscellaneous
2023-12-04,Water Bill - City Water,-46,Savings,Utilities & Bills
2023-12-05,Investment Deposit,279,Checking,Savings
2023-12-05,Transfer to Savings Account,261,Savings,Savings
2023-12-05,Starbucks Coffee,-54,Savings,Groceries & Dining
2023-12-06,Amazon Prime Video,-45,Checking,Entertainment
2023-12-08,Trader Joe's,-110,Savings,Groceries & Dining
2023-12-10,Local Theatre Play,-44,Checking,Entertainment
2023-12-11,Netflix Subscription,-62,Checking,Entertainment
2023-12-12,Concert Tickets,-68,Checking,Entertainment
2023-12-13,Retirement Contribution - Vanguard,323,Savings,Savings
2023-12-13,Amazon Purchase,-139,Checking,Shopping & Miscellaneous
2023-12-14,Internet Bill - Comcast,-66,Checking,Utilities & Bills
2023-12-15,Domino's Pizza,-169,Checking,Groceries & Dining
2023-12-16,Starbucks Coffee,-62,Savings,Groceries & Dining
2023-12-16,Transfer to Savings Account,219,Checking,Savings
2023-12-16,Amazon Purchase,-34,Savings,Shopping & Miscellaneous
2023-12-17,Amazon Purchase,-55,Checking,Shopping & Miscellaneous
2023-12-20,Sephora Makeup,-82,Savings,Shopping & Miscellaneous
2023-12-20,Apple Store,-122,Checking,Shopping & Miscellaneous
2023-12-21,Chipotle,-240,Savings,Groceries & Dining
2023-12-23,McDonald's,-233,Checking,Groceries & Dining
2023-12-23,DoorDash,-57,Checking,Groceries & Dining
2023-12-25,Transfer to Savings Account,359,Checking,Savings
2023-12-25,Chipotle,-259,Savings,Groceries & Dining
2023-12-26,Heating Bill - GasCompany,-46,Savings,Utilities & Bills
2023-12-26,Domino's Pizza,-71,Savings,Groceries & Dining
2023-12-27,Stock Purchase - Robinhood,317,Savings,Savings
2023-12-27,Salary Payment,3000,Checking,Salary
2023-12-27,Electricity Bill - PowerCo,-47,Savings,Utilities & Bills
2023-12-27,Monthly Rent - Apartment,-1200,Checking,Rent
2023-12-27,Amazon Purchase,-80,Savings,Shopping & Miscellaneous
2023-12-28,Best Buy Electronics,-140,Checking,Shopping & Miscellaneous
2023-12-29,Apple Store,-112,Savings,Shopping & Miscellaneous
2023-12-29,Etsy Handmade Goods,-190,Checking,Shopping & Miscellaneous
2023-12-29,Sephora Makeup,-124,Savings,Shopping & Miscellaneous
2023-12-29,Emergency Fund Contribution,397,Savings,Savings
2023-12-29,Nike Shoes,-168,Checking,Shopping & Miscellaneous
2023-12-29,Internet Bill - Comcast,-30,Savings,Utilities & Bills
2023-12-29,Water Bill - City Water,-89,Savings,Utilities & Bills
2023-12-31,Walmart Groceries,-194,Checking,Groceries & Dining
2024-01-01,Transfer to Savings Account,166,Savings,Savings
2024-01-01,Water Bill - City Water,-69,Checking,Utilities & Bills
2024-01-02,Stock Purchase - Robinhood,405,Checking,Savings
2024-01-02,Walmart Groceries,-60,Checking,Groceries & Dining
2024-01-03,Mobile Plan - Verizon,-82,Checking,Utilities & Bills
2024-01-04,Electricity Bill - PowerCo,-73,Checking,Utilities & Bills
2024-01-04,Concert Tickets,-69,Checking,Entertainment
2024-01-05,Mobile Plan - Verizon,-73,Savings,Utilities & Bills
2024-01-10,Zara Clothing,-94,Savings,Shopping & Miscellaneous
2024-01-11,Movie Night - AMC Theatres,-34,Savings,Entertainment
2024-01-11,McDonald's,-50,Checking,Groceries & Dining
2024-01-11,Retirement Contribution - Vanguard,128,Checking,Savings
2024-01-11,Heating Bill - GasCompany,-29,Savings,Utilities & Bills
2024-01-12,Investment Deposit,269,Savings,Savings
2024-01-12,Stock Purchase - Robinhood,108,Checking,Savings
2024-01-13,HBO Max Subscription,-62,Savings,Entertainment
2024-01-14,Apple Store,-67,Savings,Shopping & Miscellaneous
2024-01-14,Walmart Groceries,-287,Checking,Groceries & Dining
2024-01-15,Investment Deposit,446,Savings,Savings
2024-01-16,Internet Bill - Comcast,-75,Savings,Utilities & Bills
2024-01-16,Water Bill - City Water,-36,Savings,Utilities & Bills
2024-01-16,Whole Foods,-53,Savings,Groceries & Dining
2024-01-17,Sephora Makeup,-153,Checking,Shopping & Miscellaneous
2024-01-17,Walmart Groceries,-270,Savings,Groceries & Dining
2024-01-19,Walmart Household Supplies,-184,Savings,Shopping & Miscellaneous
2024-01-19,Amazon Purchase,-71,Savings,Shopping & Miscellaneous
2024-01-19,Stock Purchase - Robinhood,467,Checking,Savings
2024-01-19,Heating Bill - GasCompany,-95,Checking,Utilities & Bills
2024-01-19,Nike Shoes,-82,Savings,Shopping & Miscellaneous
2024-01-19,Whole Foods,-153,Savings,Groceries & Dining
2024-01-20,Etsy Handmade Goods,-234,Checking,Shopping & Miscellaneous
2024-01-21,Retirement Contribution - Vanguard,463,Checking,Savings
2024-01-21,Etsy Handmade Goods,-175,Savings,Shopping & Miscellaneous
2024-01-22,Apple Store,-40,Checking,Shopping & Miscellaneous
2024-01-22,Heating Bill - GasCompany,-88,Checking,Utilities & Bills
2024-01-22,Whole Foods,-134,Savings,Groceries & Dining
2024-01-24,Fine Dining Restaurant,-194,Savings,Groceries & Dining
2024-01-24,Etsy Handmade Goods,-97,Checking,Shopping & Miscellaneous
2024-01-25,Investment Deposit,390,Savings,Savings
2024-01-26,Monthly Rent - Apartment,-1200,Checking,Rent
2024-01-26,Stock Purchase - Robinhood,282,Savings,Savings
2024-01-26,Salary Payment,3000,Checking,Salary
2024-01-27,Stock Purchase - Robinhood,272,Checking,Savings
2024-01-27,Internet Bill - Comcast,-83,Savings,Utilities & Bills
2024-01-27,Netflix Subscription,-10,Checking,Entertainment
2024-01-27,Electricity Bill - PowerCo,-58,Checking,Utilities & Bills
2024-01-28,Apple Store,-97,Savings,Shopping & Miscellaneous
2024-01-29,DoorDash,-89,Checking,Groceries & Dining
2024-01-30,Internet Bill - Comcast,-59,Checking,Utilities & Bills
2024-01-30,Investment Deposit,407,Checking,Savings
2024-01-30,Heating Bill - GasCompany,-42,Savings,Utilities & Bills
2024-01-30,Local Boutique Purchase,-51,Checking,Shopping & Miscellaneous
2024-01-31,Sephora Makeup,-120,Savings,Shopping & Miscellaneous
2024-01-31,Retirement Contribution - Vanguard,325,Checking,Savings
2024-02-01,HBO Max Subscription,-35,Checking,Entertainment
2024-02-01,Amusement Park Ticket,-34,Savings,Entertainment
2024-02-02,Local Theatre Play,-18,Checking,Entertainment
2024-02-02,Netflix Subscription,-26,Savings,Entertainment
2024-02-02,Mobile Plan - Verizon,-53,Checking,Utilities & Bills
2024-02-02,Mobile Plan - Verizon,-46,Savings,Utilities & Bills
2024-02-03,Stock Purchase - Robinhood,343,Savings,Savings
2024-02-03,Transfer to Savings Account,496,Checking,Savings
2024-02-04,Concert Tickets,-32,Checking,Entertainment
2024-02-05,Movie Night - AMC Theatres,-35,Checking,Entertainment
2024-02-05,Apple Store,-77,Savings,Shopping & Miscellaneous
2024-02-06,Etsy Handmade Goods,-154,Savings,Shopping & Miscellaneous
2024-02-06,Amusement Park Ticket,-50,Savings,Entertainment
2024-02-06,Water Bill - City Water,-90,Checking,Utilities & Bills
2024-02-06,IKEA Furniture,-180,Savings,Shopping & Miscellaneous
2024-02-07,Chipotle,-202,Savings,Groceries & Dining
2024-02-08,Amazon Prime Video,-32,Savings,Entertainment
2024-02-08,Zara Clothing,-154,Checking,Shopping & Miscellaneous
2024-02-08,Local Farmers Market,-98,Savings,Groceries & Dining
2024-02-08,Water Bill - City Water,-38,Savings,Utilities & Bills
2024-02-09,Zara Clothing,-154,Checking,Shopping & Miscellaneous
2024-02-11,Investment Deposit,300,Savings,Savings
2024-02-12,Walmart Household Supplies,-249,Savings,Shopping & Miscellaneous
2024-02-13,Mobile Plan - Verizon,-44,Savings,Utilities & Bills
2024-02-13,Heating Bill - GasCompany,-52,Savings,Utilities & Bills
2024-02-14,Amazon Prime Video,-67,Savings,Entertainment
2024-02-14,Retirement Contribution - Vanguard,499,Savings,Savings
2024-02-14,Transfer to Savings Account,321,Checking,Savings
2024-02-17,Amazon Prime Video,-44,Savings,Entertainment
2024-02-18,Trader Joe's,-154,Checking,Groceries & Dining
2024-02-18,Local Farmers Market,-183,Checking,Groceries & Dining
2024-02-18,Retirement Contribution - Vanguard,314,Checking,Savings
2024-02-18,Investment Deposit,119,Savings,Savings
2024-02-19,Water Bill - City Water,-28,Savings,Utilities & Bills
2024-02-19,Mobile Plan - Verizon,-82,Checking,Utilities & Bills
2024-02-20,Escape Room Experience,-48,Checking,Entertainment
2024-02-21,Best Buy Electronics,-141,Checking,Shopping & Miscellaneous
2024-02-22,Water Bill - City Water,-100,Savings,Utilities & Bills
2024-02-22,Electricity Bill - PowerCo,-54,Checking,Utilities & Bills
2024-02-22,Amazon Purchase,-51,Checking,Shopping & Miscellaneous
2024-02-23,IKEA Furniture,-54,Savings,Shopping & Miscellaneous
2024-02-24,Stock Purchase - Robinhood,365,Savings,Savings
2024-02-24,DoorDash,-171,Savings,Groceries & Dining
2024-02-25,Concert Tickets,-11,Savings,Entertainment
2024-02-25,Investment Deposit,203,Savings,Savings
2024-02-25,Mobile Plan - Verizon,-42,Checking,Utilities & Bills
2024-02-25,Monthly Rent - Apartment,-1200,Checking,Rent
2024-02-25,Amusement Park Ticket,-40,Savings,Entertainment
2024-02-25,Salary Payment,3000,Checking,Salary
2024-02-26,Water Bill - City Water,-79,Checking,Utilities & Bills
2024-02-27,Zara Clothing,-146,Checking,Shopping & Miscellaneous
2024-02-28,Stock Purchase - Robinhood,196,Checking,Savings
2024-02-29,Retirement Contribution - Vanguard,412,Checking,Savings
2024-03-01,Amusement Park Ticket,-31,Checking,Entertainment
2024-03-01,Movie Night - AMC Theatres,-50,Checking,Entertainment
2024-03-01,Emergency Fund Contribution,393,Checking,Savings
2024-03-01,DoorDash,-293,Checking,Groceries & Dining
2024-03-02,Etsy Handmade Goods,-137,Savings,Shopping & Miscellaneous
2024-03-02,Investment Deposit,370,Savings,Savings
2024-03-03,Stock Purchase - Robinhood,282,Savings,Savings
2024-03-03,Escape Room Experience,-41,Checking,Entertainment
2024-03-03,Internet Bill - Comcast,-31,Checking,Utilities & Bills
2024-03-03,Electricity Bill - PowerCo,-38,Savings,Utilities & Bills
2024-03-04,Local Farmers Market,-263,Checking,Groceries & Dining
2024-03-05,DoorDash,-240,Savings,Groceries & Dining
2024-03-05,Whole Foods,-256,Checking,Groceries & Dining
2024-03-06,Target Shopping,-157,Checking,Shopping & Miscellaneous
2024-03-07,Local Boutique Purchase,-47,Checking,Shopping & Miscellaneous
2024-03-07,Movie Night - AMC Theatres,-69,Savings,Entertainment
2024-03-08,Stock Purchase - Robinhood,330,Checking,Savings
2024-03-08,Heating Bill - GasCompany,-21,Checking,Utilities & Bills
2024-03-08,Zara Clothing,-100,Checking,Shopping & Miscellaneous
2024-03-08,Water Bill - City Water,-98,Checking,Utilities & Bills
2024-03-09,Heating Bill - GasCompany,-56,Savings,Utilities & Bills
2024-03-10,Amazon Prime Video,-51,Savings,Entertainment
2024-03-10,Mobile Plan - Verizon,-78,Savings,Utilities & Bills
2024-03-10,Electricity Bill - PowerCo,-78,Checking,Utilities & Bills
2024-03-10,Transfer to Savings Account,231,Checking,Savings
2024-03-11,Trader Joe's,-207,Savings,Groceries & Dining
2024-03-11,Local Farmers Market,-242,Checking,Groceries & Dining
2024-03-13,Mobile Plan - Verizon,-83,Checking,Utilities & Bills
2024-03-13,Emergency Fund Contribution,288,Savings,Savings
2024-03-14,Water Bill - City Water,-29,Savings,Utilities & Bills
2024-03-14,Movie Night - AMC Theatres,-19,Savings,Entertainment
2024-03-14,Movie Night - AMC Theatres,-28,Checking,Entertainment
2024-03-14,Internet Bill - Comcast,-60,Checking,Utilities & Bills
2024-03-16,Starbucks Coffee,-192,Checking,Groceries & Dining
2024-03-16,Water Bill - City Water,-65,Savings,Utilities & Bills
2024-03-16,Spotify Premium,-38,Savings,Entertainment
2024-03-17,Local Boutique Purchase,-83,Savings,Shopping & Miscellaneous
2024-03-18,Mobile Plan - Verizon,-65,Checking,Utilities & Bills
2024-03-18,Mobile Plan - Verizon,-65,Checking,Utilities & Bills
2024-03-20,Emergency Fund Contribution,385,Savings,Savings
2024-03-20,IKEA Furniture,-95,Savings,Shopping & Miscellaneous
2024-03-22,Transfer to Savings Account,324,Checking,Savings
2024-03-22,HBO Max Subscription,-26,Savings,Entertainment
2024-03-22,Zara Clothing,-191,Checking,Shopping & Miscellaneous
2024-03-22,Retirement Contribution - Vanguard,209,Checking,Savings
2024-03-22,Electricity Bill - PowerCo,-88,Checking,Utilities & Bills
2024-03-24,Electricity Bill - PowerCo,-71,Checking,Utilities & Bills
2024-03-25,Stock Purchase - Robinhood,499,Savings,Savings
2024-03-25,Retirement Contribution - Vanguard,171,Checking,Savings
2024-03-25,Heating Bill - GasCompany,-33,Checking,Utilities & Bills
2024-03-26,Sephora Makeup,-117,Checking,Shopping & Miscellaneous
2024-03-26,Monthly Rent - Apartment,-1200,Checking,Rent
2024-03-26,Salary Payment,3000,Checking,Salary
2024-03-27,Heating Bill - GasCompany,-86,Savings,Utilities & Bills
2024-03-27,Electricity Bill - PowerCo,-55,Checking,Utilities & Bills
2024-03-27,Electricity Bill - PowerCo,-35,Savings,Utilities & Bills
2024-03-28,Zara Clothing,-49,Savings,Shopping & Miscellaneous
2024-03-28,Escape Room Experience,-44,Checking,Entertainment
2024-03-28,Amazon Purchase,-214,Checking,Shopping & Miscellaneous
2024-03-29,Heating Bill - GasCompany,-35,Savings,Utilities & Bills
2024-03-29,Domino's Pizza,-101,Checking,Groceries & Dining
2024-03-29,Nike Shoes,-41,Savings,Shopping & Miscellaneous
2024-03-30,Trader Joe's,-217,Checking,Groceries & Dining
2024-04-01,Zara Clothing,-31,Checking,Shopping & Miscellaneous
2024-04-02,Amusement Park Ticket,-52,Savings,Entertainment
2024-04-02,Internet Bill - Comcast,-57,Checking,Utilities & Bills
2024-04-03,Nike Shoes,-135,Savings,Shopping & Miscellaneous
2024-04-03,Movie Night - AMC Theatres,-12,Checking,Entertainment
2024-04-03,Spotify Premium,-52,Checking,Entertainment
2024-04-04,Trader Joe's,-218,Savings,Groceries & Dining
2024-04-05,Sephora Makeup,-125,Savings,Shopping & Miscellaneous
2024-04-05,Fine Dining Restaurant,-165,Savings,Groceries & Dining
2024-04-06,HBO Max Subscription,-65,Checking,Entertainment
2024-04-06,Fine Dining Restaurant,-227,Checking,Groceries & Dining
2024-04-07,Zara Clothing,-194,Savings,Shopping & Miscellaneous
2024-04-08,Escape Room Experience,-54,Checking,Entertainment
2024-04-09,McDonald's,-80,Checking,Groceries & Dining
2024-04-09,Escape Room Experience,-58,Savings,Entertainment
2024-04-09,HBO Max Subscription,-27,Savings,Entertainment
2024-04-09,Walmart Groceries,-195,Checking,Groceries & Dining
2024-04-10,Electricity Bill - PowerCo,-93,Savings,Utilities & Bills
2024-04-12,McDonald's,-167,Savings,Groceries & Dining
2024-04-12,Trader Joe's,-183,Checking,Groceries & Dining
2024-04-13,Water Bill - City Water,-72,Checking,Utilities & Bills
2024-04-13,Concert Tickets,-64,Checking,Entertainment
2024-04-15,Retirement Contribution - Vanguard,457,Savings,Savings
2024-04-15,Electricity Bill - PowerCo,-30,Savings,Utilities & Bills
2024-04-15,Heating Bill - GasCompany,-90,Savings,Utilities & Bills
2024-04-15,HBO Max Subscription,-38,Savings,Entertainment
2024-04-15,Heating Bill - GasCompany,-68,Checking,Utilities & Bills
2024-04-16,Concert Tickets,-25,Savings,Entertainment
2024-04-16,Local Theatre Play,-49,Savings,Entertainment
2024-04-17,Emergency Fund Contribution,385,Savings,Savings
2024-04-17,Fine Dining Restaurant,-182,Savings,Groceries & Dining
2024-04-19,McDonald's,-92,Checking,Groceries & Dining
2024-04-19,Local Theatre Play,-60,Checking,Entertainment
2024-04-20,Transfer to Savings Account,161,Checking,Savings
2024-04-20,Amazon Purchase,-213,Checking,Shopping & Miscellaneous
2024-04-20,HBO Max Subscription,-12,Savings,Entertainment
2024-04-23,Heating Bill - GasCompany,-90,Savings,Utilities & Bills
2024-04-24,McDonald's,-199,Savings,Groceries & Dining
2024-04-25,Zara Clothing,-165,Checking,Shopping & Miscellaneous
2024-04-25,Salary Payment,3000,Checking,Salary
2024-04-25,Monthly Rent - Apartment,-1200,Checking,Rent
2024-04-26,HBO Max Subscription,-30,Checking,Entertainment
2024-04-27,Mobile Plan - Verizon,-45,Savings,Utilities & Bills
2024-04-28,Concert Tickets,-40,Savings,Entertainment
2024-04-30,HBO Max Subscription,-59,Savings,Entertainment
2024-04-30,Retirement Contribution - Vanguard,245,Checking,Savings
2024-05-01,HBO Max Subscription,-24,Savings,Entertainment
2024-05-02,Electricity Bill - PowerCo,-44,Checking,Utilities & Bills
2024-05-03,Retirement Contribution - Vanguard,485,Savings,Savings
2024-05-03,Trader Joe's,-118,Checking,Groceries & Dining
2024-05-03,Internet Bill - Comcast,-98,Savings,Utilities & Bills
2024-05-03,Internet Bill - Comcast,-45,Savings,Utilities & Bills
2024-05-04,Stock Purchase - Robinhood,227,Checking,Savings
2024-05-06,Water Bill - City Water,-41,Checking,Utilities & Bills
2024-05-07,HBO Max Subscription,-43,Checking,Entertainment
2024-05-08,Fine Dining Restaurant,-260,Checking,Groceries & Dining
2024-05-08,Spotify Premium,-41,Savings,Entertainment
2024-05-10,Trader Joe's,-275,Savings,Groceries & Dining
2024-05-10,Whole Foods,-68,Checking,Groceries & Dining
2024-05-11,Local Boutique Purchase,-231,Checking,Shopping & Miscellaneous
2024-05-12,Transfer to Savings Account,178,Checking,Savings
2024-05-12,Uber Eats,-133,Savings,Groceries & Dining
2024-05-12,Stock Purchase - Robinhood,320,Savings,Savings
2024-05-13,Fine Dining Restaurant,-262,Savings,Groceries & Dining
2024-05-14,Uber Eats,-150,Checking,Groceries & Dining
2024-05-15,Electricity Bill - PowerCo,-47,Savings,Utilities & Bills
2024-05-15,Movie Night - AMC Theatres,-67,Savings,Entertainment
2024-05-16,Netflix Subscription,-60,Checking,Entertainment
2024-05-16,Chipotle,-113,Savings,Groceries & Dining
2024-05-17,Retirement Contribution - Vanguard,140,Savings,Savings
2024-05-18,Transfer to Savings Account,168,Checking,Savings
2024-05-19,Mobile Plan - Verizon,-74,Savings,Utilities & Bills
2024-05-19,McDonald's,-228,Checking,Groceries & Dining
2024-05-19,Amazon Prime Video,-68,Checking,Entertainment
2024-05-20,Amazon Prime Video,-24,Savings,Entertainment
2024-05-20,Apple Store,-239,Checking,Shopping & Miscellaneous
2024-05-20,DoorDash,-260,Savings,Groceries & Dining
2024-05-20,Internet Bill - Comcast,-41,Savings,Utilities & Bills
2024-05-20,Emergency Fund Contribution,257,Savings,Savings
2024-05-22,Local Theatre Play,-54,Checking,Entertainment
2024-05-22,Stock Purchase - Robinhood,330,Savings,Savings
2024-05-22,Movie Night - AMC Theatres,-31,Savings,Entertainment
2024-05-23,Walmart Groceries,-112,Savings,Groceries & Dining
2024-05-23,Chipotle,-55,Savings,Groceries & Dining
2024-05-23,Amazon Prime Video,-46,Checking,Entertainment
2024-05-24,Spotify Premium,-46,Savings,Entertainment
2024-05-24,HBO Max Subscription,-45,Checking,Entertainment
2024-05-25,Monthly Rent - Apartment,-1200,Checking,Rent
2024-05-25,Salary Payment,3000,Checking,Salary
2024-05-26,Emergency Fund Contribution,110,Checking,Savings
2024-05-28,Water Bill - City Water,-47,Checking,Utilities & Bills
2024-05-30,Amusement Park Ticket,-32,Checking,Entertainment
2024-05-31,Retirement Contribution - Vanguard,114,Checking,Savings
2024-06-02,Local Boutique Purchase,-193,Savings,Shopping & Miscellaneous
2024-06-02,Chipotle,-153,Checking,Groceries & Dining
2024-06-02,Electricity Bill - PowerCo,-89,Checking,Utilities & Bills
2024-06-03,Trader Joe's,-208,Checking,Groceries & Dining
2024-06-04,Retirement Contribution - Vanguard,192,Checking,Savings
2024-06-05,Heating Bill - GasCompany,-59,Savings,Utilities & Bills
2024-06-05,Local Farmers Market,-154,Savings,Groceries & Dining
2024-06-05,Heating Bill - GasCompany,-90,Checking,Utilities & Bills
2024-06-06,Transfer to Savings Account,357,Savings,Savings
2024-06-06,Internet Bill - Comcast,-38,Checking,Utilities & Bills
2024-06-06,Emergency Fund Contribution,231,Checking,Savings
2024-06-08,Starbucks Coffee,-55,Savings,Groceries & Dining
2024-06-10,Walmart Groceries,-63,Checking,Groceries & Dining
2024-06-10,Escape Room Experience,-21,Checking,Entertainment
2024-06-10,Spotify Premium,-16,Checking,Entertainment
2024-06-11,Emergency Fund Contribution,399,Checking,Savings
2024-06-12,Emergency Fund Contribution,408,Savings,Savings
2024-06-12,Transfer to Savings Account,375,Checking,Savings
2024-06-12,HBO Max Subscription,-23,Savings,Entertainment
2024-06-14,Water Bill - City Water,-53,Checking,Utilities & Bills
2024-06-14,Amazon Purchase,-247,Savings,Shopping & Miscellaneous
2024-06-14,Local Boutique Purchase,-174,Savings,Shopping & Miscellaneous
2024-06-15,Movie Night - AMC Theatres,-13,Savings,Entertainment
2024-06-15,Amusement Park Ticket,-14,Savings,Entertainment
2024-06-15,Transfer to Savings Account,370,Savings,Savings
2024-06-15,Heating Bill - GasCompany,-55,Checking,Utilities & Bills
2024-06-16,Local Farmers Market,-64,Savings,Groceries & Dining
2024-06-18,Etsy Handmade Goods,-136,Checking,Shopping & Miscellaneous
2024-06-18,Local Farmers Market,-84,Savings,Groceries & Dining
2024-06-19,Sephora Makeup,-56,Savings,Shopping & Miscellaneous
2024-06-19,Retirement Contribution - Vanguard,192,Checking,Savings
2024-06-19,Mobile Plan - Verizon,-59,Savings,Utilities & Bills
2024-06-20,Transfer to Savings Account,355,Checking,Savings
2024-06-20,Investment Deposit,442,Checking,Savings
2024-06-20,Concert Tickets,-25,Savings,Entertainment
2024-06-20,Internet Bill - Comcast,-85,Checking,Utilities & Bills
2024-06-21,Nike Shoes,-208,Savings,Shopping & Miscellaneous
2024-06-21,Retirement Contribution - Vanguard,259,Savings,Savings
2024-06-22,Retirement Contribution - Vanguard,483,Checking,Savings
2024-06-23,Water Bill - City Water,-39,Checking,Utilities & Bills
2024-06-23,Investment Deposit,477,Savings,Savings
2024-06-24,Etsy Handmade Goods,-40,Checking,Shopping & Miscellaneous
2024-06-24,Monthly Rent - Apartment,-1200,Checking,Rent
2024-06-24,Salary Payment,3000,Checking,Salary
2024-06-25,Etsy Handmade Goods,-67,Savings,Shopping & Miscellaneous
2024-06-26,Whole Foods,-255,Checking,Groceries & Dining
2024-06-26,Water Bill - City Water,-22,Checking,Utilities & Bills
